OBJECTID,OBJECTID,tract,ACS2019TotalPop,CIscore,CIscoreP,CIdecile,CIvigintile,ozone,ozoneP,pm,pmP,diesel,dieselP,pest,pestP,RSEIhaz,RSEIhazP,traffic,trafficP,drink,drinkP,lead,leadP,cleanups,cleanupsP,gwthreats,gwthreatsP,haz,hazP,iwb,iwbP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,lbw,lbwP,cvd,cvdP,edu,eduP,ling,lingP,pov,povP,unemp,unempP,housingB,housingBP,PopChar,PopCharScore,PopCharP,Children_under10,Children_under10.pct,Pop.10_64.years,Pop.10_64.years.pct,Elderly_65over,Elderly_65over.pct,Hispanic,Hispanic.pct,White,White.pct,African.American,African.American.pct,Native.American,Native.American.pct,Asian.American,Asian.American.pct,Other.Multiple,Other.Multiple.pct,Shape__Area,Shape__Length,Tract (Text)
1,,6083002103,4495,36.0196526821889,69.1628845184065,7,14,0.03419029,10.5662725575607,7.567723582,10.031113876789,0.154572827,52.4082140634723,1705.21702,92.0344827586207,13.68538997,9.91497874468617,1089.731518,63.4,246.3726714,11.1652304233795,39.31055783,36.1184625078765,1,17.077267637178,73.15,94.7202390835132,0.44,64.7650562541363,9,77.2994540109198,0,0,40.7273640434152,4.97280306005135,45.0031113876789,82.18,86.6525423728814,6.01,75.3271747498075,12.69,52.006480558325,30.4,80.6631232599342,18.2,83.840844498579,57.5,89.6608040201005,3.1,18.3107756376887,21.6,69.1508238276299,69.8270034045622,7.24332981765358,79.8285426122037,829,18.44,3104,69.05,562,12.5,3098,68.92,939,20.89,18,0.4,12,0.27,369,8.21,59,1.31,2847611.28416729,6999.35762192594,6083002103
2,,6083002402,13173,37.030667271132,70.6379223398891,8,15,0.03521715,11.5619166148102,7.624774881,10.4542626011201,0.106087591,39.3652769135034,31524.11322,99.5862068965517,14.76617337,10.2650662665666,486.0378493,19.9,441.0587409,52.8287748220307,44.64199417,43.8059231253938,13.5,72.3964165733483,304,99.7675576955006,2.8,95.5526141628061,10,82.9693406131877,18,97.6403207331042,53.8690355885279,6.57739854538799,79.9626633478532,48.8,54.7981056829511,4,26.6358737490377,7.6,10.8175473579262,44,92.8752214629208,18.2,83.840844498579,51,83.0402010050251,7.2,69.1306611140031,19.3,60.1013941698352,54.2740866900222,5.62998684291338,56.5557236510338,2588,19.65,9880,75,705,5.35,10357,78.62,1742,13.22,330,2.51,0,0,619,4.7,125,0.95,16352920.1390934,19100.5780031825,6083002402
3,,6083002102,2398,31.2131399573371,61.0690872415532,7,13,0.03419029,10.5662725575607,7.548835273,9.93154947106409,0.190474185,60.3111387678905,2328.797488,93.8275862068966,16.02065387,10.5151287821955,779.381302,42.75,246.3726714,11.1652304233795,66.73805588,75.0724637681159,0.1,2.07166853303471,7.5,39.4487796779014,0.135,23.7193911317009,9,77.2994540109198,4,70.4238258877434,40.3758221141786,4.9298798603181,43.8581207218419,82.18,86.6525423728814,4.95,51.0136002052861,12.69,52.006480558325,30.2,80.4606428752215,13.3,72.2560562999053,29.4,52.8768844221105,4.3,35.0208224882874,17.9,53.6248415716096,61.0360286217955,6.33142000245887,67.183560262229,362,15.1,1727,72.02,309,12.89,1576,65.72,734,30.61,23,0.96,0,0,13,0.54,52,2.17,1352329.51153469,4970.98593320838,6083002102
4,,6083002010,4496,6.63933070287254,5.98840141200202,1,2,0.036244,13.6154324828874,7.660569906,10.65339141257,0.091384366,34.2750466708152,3237.522481,95.4137931034483,6.183636833,7.86446611652913,744.7092539,39.925,335.2215447,32.5590108654927,18.81221358,11.0775047258979,0,0,0.3,2.10858376224473,0.2,35.6187954996691,0,0,0,0,22.9637957322643,2.80387489762576,6.09831985065339,41.11,43.3449651046859,2.65,5.68385937900949,10.31,32.4152542372881,2.9,10.3138445963047,0,0,8.8,7.55025125628141,6.1,58.3550234252993,10.6,16.3117870722433,22.8271037551768,2.36791260141261,10.7413010590015,546,12.14,3302,73.44,648,14.41,1032,22.95,3111,69.19,42,0.93,32,0.71,165,3.67,114,2.54,2417716.75056362,6558.95614231237,6083002010
5,,6083002009,4008,14.0228516515652,23.1215330307615,3,5,0.036244,13.6154324828874,7.66321049,10.6907280647169,0.05097617,18.4816428126945,14.98837041,63.2413793103448,5.847123233,7.71442860715179,544.0407625,24.3625,335.2215447,32.5590108654927,48.5591678,49.5148078134846,0.1,2.07166853303471,0,0,0.21,37.6836532097948,0,0,1,35.7159221076747,23.379743753098,2.85466206835007,6.58369632856254,41.11,43.3449651046859,6.22,79.2789325121889,10.31,32.4152542372881,10.1,42.2930903568717,4.3,33.3062660711869,20.4,35.1507537688442,12.1,92.3997917751171,9.5,12.0025348542459,47.3551023249871,4.91226327873902,46.2808875441251,514,12.82,2737,68.29,757,18.89,1339,33.41,2396,59.78,28,0.7,59,1.47,131,3.27,55,1.37,2608421.64363289,6570.36864171896,6083002009
6,,6083002008,7074,9.95847885183642,12.8088754412506,2,3,0.036244,13.6154324828874,7.724757236,11.1263223397635,0.090448423,33.8021157436217,6973.794746,97.7586206896552,7.395099833,8.2145536384096,717.6584971,37.6,336.4333828,32.7338578743599,35.56429128,31.2413358538122,0.1,2.07166853303471,1.5,10.6425369417234,0.1,16.6379880873594,0,0,0,0,24.1311661226836,2.94641059042194,7.38021157436217,41.11,43.3449651046859,4.43,36.6564023607904,10.31,32.4152542372881,7.2,30.8656036446469,1.7,13.3035593449723,15.6,23.3040201005025,5.6,52.5247267048412,11,18.4664131812421,32.5825359147479,3.37986799402941,23.8275340393343,1108,15.66,4844,68.48,1122,15.86,2363,33.4,4132,58.41,190,2.69,0,0,198,2.8,191,2.7,3302911.41709328,8840.45818121593,6083002008
7,,6083002007,10983,14.7564151962811,24.899142713061,3,5,0.03521715,11.5619166148102,7.688175461,10.8525202240199,0.112023425,40.8338518979465,3464.58876,95.7931034482759,9.697076333,8.78969742435609,1085.750683,63.1375,330.286439,31.5224178843512,23.93200464,16.7233774417139,0,0,278.15,99.6679395650008,1.42,89.7948378557247,9,77.2994540109198,0,0,41.0520141733992,5.01244277643734,45.8742999377722,40.26,41.8743768693918,3.72,20.5157813702848,9.93,29.3743768693918,7,30.0303720577069,3.2,25.5514954662336,24.2,42.9020100502513,1.5,3.21447162935971,13.2,29.1634980988593,28.3802739150858,2.94395683989622,17.725668179526,1279,11.65,8191,74.58,1513,13.78,4403,40.09,5068,46.14,190,1.73,17,0.15,911,8.29,394,3.59,5320774.15035534,11494.0727288448,6083002007
8,,6011000500,2565,24.5446846573789,47.8567826525466,5,10,0.0482775,55.3827006845053,8.454582099,21.6801493466086,0.034915173,12.4579962663348,1563.663625,91.6896551724138,2.563666,6.26406601650413,127.6585522,1.8,279.8527104,18.658673660547,76.13088861,85.7844990548204,10,61.384845091452,13,54.5243234268637,0.2,35.6187954996691,9,77.2994540109198,2.7,60.1145475372279,43.7392760545533,5.3405569183572,53.3540759178594,41.35,43.7562313060818,2.07,2.29663843982551,20.86,89.9426719840479,24.2,71.753986332574,5.9,42.8068750845852,35.1,61.9095477386935,3.6,25.2342529932327,10.2,14.6894803548796,44.3053378720557,4.59590357945834,41.6288451840646,237,9.24,1963,76.53,365,14.23,1256,48.97,1116,43.51,89,3.47,0,0,39,1.52,65,2.53,174532091.270895,77948.5433246282,6011000500
9,,6011000200,5027,31.1031997162093,60.8547655068079,7,13,0.04513184,40,8.53064414,23.5718730553827,0.041391347,14.8599875544493,1706.076403,92.1034482758621,2.160720033,5.96399099774944,164.1711142,2.8125,214.2611775,8.53003621830898,54.2557484,57.5803402646503,20,81.9148936170213,37.5,84.6588079030384,0.25,43.2958305757776,13,91.8731625367493,7,83.2760595647194,46.1197649770206,5.6312141429555,59.8879900435594,41.99,44.7283150548355,4.79,46.4973056197075,21.17,91.1889332003988,18.6,62.3892685396102,10.6,64.1358776559751,37.5,65.4145728643216,2.8,14.3935450286309,11.8,22.1039290240811,53.2461449570855,5.5233558743488,54.9924357034796,888,17.66,3279,65.23,860,17.11,2520,50.13,2214,44.04,77,1.53,37,0.74,54,1.08,125,2.49,216865724.529316,96227.8430152585,6011000200
10,,6011000400,2252,18.451511990689,33.7997982854261,4,7,0.04268688,29.9191039203485,6.133096342,3.65899191039203,0.010926077,4.19415059116366,670.6994019,86.8965517241379,2.444189,6.15153788447112,119.9074685,1.6,279.1680336,18.5462720119895,49.46601434,50.8884688090737,0,0,6,35.0157728706625,0.01,1.80013236267373,13,91.8731625367493,15.2,96.2199312714777,31.8151896737356,3.88462833973282,21.568139390168,37.92,37.7741774675972,4.29,33.4359763920965,14.61,64.2323030907278,24.3,71.8805365730195,7.5,51.1029909324672,37.8,65.8417085427136,4.4,36.4393545028631,8,6.89480354879594,45.7896822350562,4.74987833506822,44.0620272314675,265,11.77,1519,67.45,468,20.78,814,36.15,1255,55.73,81,3.6,23,1.02,14,0.62,65,2.89,1083304633.11502,218667.41718395,6011000400
